participant,system,rating,region_captions
P1,system1,6.0,"['a man wearing a white shirt, beige pants, and black shoes, holding a map in his right hand and wearing sunglasses', 'a woman wearing a white shirt with pink flower patterns, short jeans, and a pair of sandals, holding a coffee in her left hand and a grey luggage in her right hand', 'a man wearing a green shirt, beige shorts, and black shoes, with short black hair and wearing a watch on his left wrist', 'a woman wearing a long light-blue dress and a pair of sandals, holding a beige hat in her left hand and a black camera in her right hand', 'a city with yellow and white colored antique buildings in the back']"
P1,system1,4.0,"['a man wearing a white shirt, beige pants, and black shoes, holding a map in his right hand and wearing sunglasses, with his face heading to his left, and wearing a watch on his left hand', 'a woman wearing a white shirt with pink and light blue small flower patterns, short jeans, and a pair of black sandals, holding a coffee in her left hand and a grey luggage in her right hand, not wearing sunglasses', 'a man wearing a green neon t-shirt, beige shorts, and black shoes, with short black hair, wearing a watch on his left wrist, and with his face heading to his left', 'a woman wearing a long light-blue dress with no sleeves and a pair of sandals, holding a beige hat in her left hand and a black camera in her right hand, with the camera held right in front of her face as she is seeing through the lens', 'a city with yellow and white colored antique buildings in the back']"
P1,system1,5.0,"['a man wearing a white shirt, beige pants, and black shoes, holding a map in his right hand and wearing sunglasses, with his face heading to his left, and a watch on his left hand', 'a woman wearing a white shirt with pink and light blue small flower patterns, short jeans, and a pair of black sandals, holding a coffee in her left hand and a grey luggage in her right hand, not wearing sunglasses, with long dark-brown hair', 'a man wearing a green t-shirt, beige shorts, and black shoes, with short black hair, wearing a watch on his left wrist and his face heading to his left', 'a woman wearing a long light-blue dress with no sleeves and a pair of sandals, holding a beige hat in her left hand and a black camera in her right hand, with the camera held right in front of her face as she is seeing through the lens', 'a city with yellow and white colored antique buildings in the back']"
P1,system2,3.0,"['Grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants. He is wearing a pair of black shoes.', 'A woman with dark brown hair and slightly tanned skin, wearing a short sleeve long dress with small pink and light-blue flower patterns. She is holding a wooden basket and holding hands with a male.', 'A dark, slightly tanned male wearing a short-sleeve blue shirt and beige short pants, holding a bunch of bottled water. He has short, curly dark brown hair.', 'A little girl wearing a hot-pink t-shirt with no sleeves, a white mid-length skirt, and pink sandals. She is holding a brown teddy bear in her right hand and a yellow balloon in her left hand.', 'A road with two black cars and a lot of trees with green leaves.']"
P1,system2,6.0,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, and a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, holding hands with a male, and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, holding a bunch of bottled water', 'a little girl wearing a hot-pink, no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']"
P1,system2,4.0,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, with a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, holding hands with a male and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, holding a bunch of bottled water', 'a little girl wearing a hot-pink, no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']"
P1,system2,4.0,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, with a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, looking front, holding hands with a male and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, looking front, holding a bunch of bottled water', 'a little girl wearing a hot-pink no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']"
P1,system2,4.0,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, with a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, looking backward, holding hands with a male and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, looking backward, holding a bunch of bottled water', 'a little girl wearing a hot-pink no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']"
P11,system2,5.0,"['a man wearing a white shirt, wearing sunglasses, holding a map, wearing black shoes, brown pants, and a silver watch on his left wrist, with his hands in his pockets', 'a man wearing a green t-shirt, brown shorts, and black shoes, with a silver watch on his left wrist and his hands in his pockets', 'a woman with long brown hair wearing a shirt with flower patterns on it, wearing short blue pants, holding a cup of coffee in her left hand, dragging a silver trunk in her right hand, wearing slippers and a little fat', 'a short, average-height woman with black hair wearing a light blue one-piece dress and sandals, holding a black camera in her left hand and dragging a beige straw hat in her right hand']"
P11,system2,6.0,"['a man wearing a white shirt, wearing sunglasses, holding a map, wearing black shoes, brown pants, and a silver watch on his left wrist, with his hands in his pockets', 'a man wearing a green t-shirt, brown shorts, and black shoes, with a silver watch on his left wrist and his hands in his pockets', 'a woman with long brown hair wearing a shirt with flower patterns on it, wearing short blue pants, holding a cup of coffee in her left hand, dragging a silver trunk in her right hand, wearing slippers and a little fat', 'a short, average-height woman with black hair wearing a light blue one-piece dress and sandals, looking up while holding a black camera in her right hand, positioned up to her face, and dragging a beige straw hat in her left hand', 'a wide-brimmed hat with a black ribbon', 'a shiny silver suitcase with vertical grooves and a retractable handle']"
P11,system2,1.0,"['Corrected region descriptions:', '1. a man wearing a white shirt, brown pants, black shoes, and sunglasses, with a silver watch on his left wrist, and his hands in his pockets, holding a map', '2. a man wearing a green t-shirt, brown shorts, and black shoes, with a silver watch on his left wrist, and his hands in his pockets', '3. a woman with long brown hair wearing a patterned flower shirt, short blue pants, and slippers, holding a cup of coffee in her left hand, and dragging a silver trunk in her right hand', '4. a short, average-height woman with black hair wearing a light blue one-piece dress and sandals, looking up while holding a black camera in her right hand positioned up to her face, and dragging a beige straw hat in her left hand', '5. a wide-brimmed hat with a black ribbon', '6. a shiny silver suitcase with vertical grooves and a retractable handle', 'a scene featuring a man wearing a white shirt, brown pants, black shoes, and sunglasses, with a silver watch on his left wrist, and his hands in his pockets, holding a map; a man wearing a green t-shirt, brown shorts, and black shoes, with a silver watch on his left wrist and his hands in his pockets; a woman with long brown hair wearing a patterned flower shirt, short blue pants, and slippers, holding a cup of coffee in her left hand, and dragging a silver trunk in her right hand; a short, average-height woman with black hair wearing a light blue one-piece dress and sandals, looking up while holding a black camera in her right hand positioned up to her face, and dragging a beige straw hat in her left hand; a wide-brimmed hat with a black ribbon; and a shiny silver suitcase with vertical grooves and a retractable handle.', '']"
P11,system2,1.0,"['a man wearing a white shirt, brown pants, black shoes, and sunglasses, with a silver watch on his left wrist, and his hands in his pockets, holding a map', 'a man wearing a green t-shirt, brown shorts, and black shoes, with a silver watch on his left wrist and his hands in his pockets', 'a woman with long brown hair wearing a patterned flower shirt, short blue pants, and slippers, holding a cup of coffee in her left hand, and dragging a silver trunk in her right hand', 'a short, average-height woman with black hair wearing a light blue one-piece dress and sandals, looking up while holding a black camera in her right hand positioned up to her face, and dragging a beige straw hat in her left hand', 'a wide-brimmed hat with a black ribbon', 'a shiny silver suitcase with vertical grooves and a retractable handle', 'a map', 'a cup of coffee', 'a silver trunk']"
P11,system1,2.0,"['an old man with white hair wearing a black beret and a grey cardigan with two black buttons, wearing dark blue pants and black shoes, looking left, a bit short, wearing a white shirt beneath the cardigan', 'a slightly brown woman with black hair that comes to her shoulders, smiling and looking slightly left, wearing a flower-patterned one-piece dress, holding hands with the man to her left, wearing white sandals', 'a man with dark brown hair wearing a blue t-shirt and beige shorts, wearing black sandals, holding a large dark plate with lots of water bottles on it in his left hand, and holding a brown basket up to his waist, while the woman on his right is holding his hand with the basket', 'a small yellow-brown girl holding a yellow balloon in her left hand and a brown teddy bear in her right hand, wearing a pink sleeveless t-shirt and a white skirt that comes to her knees, wearing pink sneakers, looking slightly to her right']"
P11,system1,1.0,"['an old man with white hair wearing a black beret and a grey cardigan with two black buttons, wearing dark blue pants and black shoes, looking left, a bit short, wearing a white shirt beneath the cardigan', 'a slightly brown woman with black hair that comes to her shoulders, smiling and looking slightly left, wearing a flower-patterned one-piece dress, holding hands with the man to her left who is holding a basket, wearing white sandals', 'a man with dark brown hair wearing a blue t-shirt and beige shorts, wearing black sandals, holding a large dark plate with lots of water bottles on it in his left hand, and holding a brown basket up to his waist with his right hand', 'a small yellow-brown girl holding a yellow balloon in her left hand and a brown teddy bear in her right hand, wearing a pink sleeveless t-shirt and a white skirt that comes to her knees, wearing pink sneakers, looking slightly to her right']"
P11,system1,1.0,"['an old man with white hair wearing a black beret and a grey cardigan with two black buttons, wearing dark blue pants and black shoes, looking left and a bit short, wearing a white shirt beneath the cardigan', 'a slightly brown woman with black hair that comes to her shoulders, smiling and looking slightly left, wearing a flower-patterned one-piece dress, holding hands with the man to her left who is holding a basket and wearing white sandals', 'a man with dark brown hair wearing a blue t-shirt and beige shorts, wearing black sandals, holding a large dark plate with lots of water bottles on it in his left hand, and holding a brown basket up to his waist with his right hand', 'a small yellow-brown girl holding a yellow balloon in her left hand and a brown teddy bear in her right hand, wearing a pink sleeveless t-shirt and a white skirt that comes to her knees, wearing pink sneakers, looking slightly to her right']"
P11,system1,3.0,"['an old man with white hair wearing a black beret, a grey cardigan with two black buttons, dark blue pants, and black shoes, looking left and a bit short, wearing a white shirt beneath the cardigan', 'a slightly brown woman with black hair that comes to her shoulders, smiling and looking slightly left, wearing a flower-patterned one-piece dress and white sandals, laying her left hand on top of the right hand of the man to her left who is holding a basket', 'a man with dark brown hair wearing a blue t-shirt and beige shorts, wearing black sandals, holding a large dark plate with lots of water bottles on it in his left hand, and holding a brown basket up to his waist with his right hand', 'a small yellow-brown girl holding a yellow balloon in her left hand and a brown teddy bear in her right hand, wearing a pink sleeveless t-shirt and a white skirt that comes to her knees, wearing pink sneakers, looking slightly to her right']"
P12,system2,3.0,"['an old person wearing a gray cardigan with 2 buttons on the shirt, black pants, and a beret, with short white hair, around 150 cm tall, looking at the woman and the man, and slightly overweight', 'a 35-year-old woman with medium-length wavy white hair wearing a beret, who is chubby and around 165 cm tall, dressed in a short sleeve dress with a pink and blue flower pattern', 'a 35-year-old male wearing a short-sleeved blue polo shirt, knee-length beige shorts, and black slippers, with curly short hair', 'a 7-year-old girl with short hair wearing a neon pink sleeveless top with a small white patch, a white puffy skirt, and pink sneakers', 'a yellow balloon with a white string, held by a girl in her left hand', 'a teddy bear that the girl is holding in her right hand', ""a tray full of disposable bottles of water held in the male's left hand"", 'a basket with a few items in it, held by the woman and the man']"
P12,system2,4.0,"['an old man wearing a gray cardigan with 2 buttons on the shirt, black pants, and a beret, with short white hair, around 150 cm tall, looking at a 35-year-old woman and a man, and slightly overweight', 'a 35-year-old woman with medium-length wavy hair wearing a beret. She is chubby and around 165 cm tall, dressed in a short sleeve ankle-length dress with a pink and blue flower pattern', 'a 35-year-old male wearing a short-sleeved blue polo shirt, knee-length beige shorts, and black slippers, with curly short black hair without any hat', 'a 7-year-old girl with short hair wearing a neon pink sleeveless top, a white puffy skirt, and pink sneakers', 'a yellow balloon with a white string that the girl is holding in her left hand', 'a teddy bear that the girl is holding in her right hand', 'a tray full of disposable bottles of water that the man is holding in his left hand', 'a basket with a few items in it that the woman and the man are both holding']"
P12,system1,3.0,"['a male with short brown hair, around 180 cm, wearing black sunglasses and a black watch on his left wrist, holding a pastel colored big map in his right hand, wearing a short sleeved tight white shirt, beige long pants, and black oxford shoes, looking at the people on the left side', 'a female with long black hair, 165 cm tall, wearing a pink and blue flower patterned short sleeve shirt, holding a cup of coffee in her left hand, with a silver luggage in front of her, wearing short denim pants and flat slippers, looking to the left', 'a male with short black hair, wearing a neon green short sleeve shirt and beige knee-length shorts with black sneakers, turning his body slightly to the left, wearing a black and white bracelet on his left wrist', 'a woman with medium black hair wearing a sleeveless sky blue dress just below the knee, flat magenta slippers, taking a photo of something above her with her smartphone, holding a straw sun hat in the other hand']"
P12,system1,3.0,"['a male with short brown hair, around 180 cm, wearing black sunglasses and a black watch on his left wrist, holding a pastel colored big map in his right hand, wearing a short sleeved tight white shirt, beige long pants, and black oxford shoes, looking at the people on the left side, standing in a line, facing forward', 'a female with long black hair, 165 cm tall, wearing a pink and blue flower patterned short sleeve shirt, holding a cup of coffee in her left hand, with a silver luggage in front of her, wearing short blue pants and flat slippers, looking to the left, standing in a line, facing forward', 'a male with short black hair, wearing a neon green short sleeve shirt and beige knee-length shorts with black sneakers, turning his body slightly to the left, wearing a black and white bracelet on his left wrist, standing in a line, facing forward, without sunglasses', 'a woman with medium black hair wearing a sleeveless sky blue dress just below the knee, flat magenta slippers, taking a photo of something above her with her smartphone, holding a straw sun hat in the other hand, standing in a line, facing forward']"
P3,system1,4.0,"['a man wearing a black hat, staring at a woman and a man on his right', 'a woman wearing a flower-pattern dress, holding her left hand with a man next to her', 'a girl in a pink shirt and a white skirt, holding a yellow balloon with her left hand and a brown teddy bear in her right hand', 'a man holding a box of water bottles with his left arm, married to a woman next to him; he is holding his left hand with his wife and holding a brown basket with that hand']"
P3,system1,4.0,"['a man wearing a black hat, staring at a woman and a man on his right, with his body looking front while only his head is staring at the man and woman', 'a woman wearing a flower pattern dress, married to a man next to her, holding her left hand with a man next to her, and she is half Asian and American', 'a girl in a pink shirt and white skirt, holding a yellow balloon with her left hand and a brown teddy bear in her right hand', 'a man holding a box of water bottles with his left hand, married to a woman next to him, holding his right hand with his wife and a brown basket with that hand, wearing brown shorts and black sandals, and he is Hispanic with curly hair']"
P3,system1,4.0,"['an old man wearing a black hat, staring at a woman and a man on his right, with his body looking front while only his head is staring at the man and woman', 'a woman wearing a flower pattern dress, married to a man next to her, grabbing her left hand with a man next to her and holding a brown basket, and she is half Asian and American', 'a girl with a pink shirt and a white skirt, holding a yellow balloon with her left hand and a brown teddy bear in her right hand, and the girl is looking front and she is half Asian and American', 'a man holding a box of water bottles with his left hand, married to a woman next to him, holding his right hand with his wife, wearing brown shorts and black sandals, and he is Hispanic with curly hair']"
P3,system2,6.0,"['a man wearing a white short-sleeve shirt and beige pants, wearing sunglasses, and holding a paper map in his right hand', 'a woman in a sky-blue dress, taking a picture of the sky, wearing brown sandals, and holding a brown hat', 'a female with a flower pattern top and short jeans, holding a coffee cup in her left hand and a gray suitcase in her right hand', 'a man wearing a light green T-shirt, beige shorts, and black shoes, with his hands in his pockets']"
P3,system2,3.0,"['a man wearing a white short-sleeve shirt and beige pants, wearing sunglasses and holding a paper map in his right hand, staring to the left', 'a woman wearing a sky-blue dress, brown sandals, and holding a brown hat in her left hand, taking a picture of the sky with a camera', 'a female wearing a flower pattern top and short jeans, holding a coffee cup in her left hand and a gray suitcase in her right hand', 'a man wearing a light green T-shirt, beige shorts, and black shoes, with his hands in his pockets and staring to the left']"
P3,system2,5.0,"['a man wearing a white short-sleeve shirt and beige pants, wearing sunglasses and holding a paper map in his right hand, with his foot in the frame of the image', 'a woman in a sky-blue dress, wearing brown sandals, with her left hand on her side, taking a picture with a camera, and holding a brown hat', 'a female wearing a top with a flower pattern and short jeans, holding a gray suitcase in her right hand and a coffee cup in her left hand', 'a man wearing a light green T-shirt, beige shorts, and black shoes, with his hands in his pockets', 'a gray suitcase', 'a coffee cup', 'a camera belonging to the woman', 'a background with yellow buildings and white street lamps', 'a brown hat']"
P4,system1,4.0,"['a woman holding a basket is walking with her husband with a happy smile', 'a man putting his hand on his wife is lifting a tray with a lot of water bottles on it', 'an old man wearing a gray cardigan and black beret takes a lovely look at the girl at the opposite side while walking beside the couple', 'a girl with a pink sleeveless shirt holds a yellow balloon in her left hand and a teddy bear in her right hand', 'some cars are parked in the parking lot in the background']"
P4,system1,4.0,"['a middle-aged woman holding a basket walking with her husband with a happy smile, wearing a flower-patterned dress', 'a man putting his hand on his wife, lifting a tray with a lot of water bottles on it, wearing a blue T-shirt and beige-colored short pants', 'an old man wearing a gray cardigan and black beret taking a lovely look at a girl at the opposite side while walking beside the couple independently', 'a girl with a pink sleeveless shirt holding a yellow balloon in her left hand and a teddy bear in her right hand while walking toward the front side', 'some cars parked in the park in the background']"
P4,system1,5.0,"['a middle-aged woman holding a basket is walking with her husband, who has a happy smile, and is wearing a flower-patterned one-piece', 'the man, putting his hand on his wife, is lifting a tray with a lot of water bottles on it, while she is wearing a blue T-shirt and beige-colored short pants', 'an old man wearing a gray cardigan and black beret is taking a lovely look at a girl at the opposite side while walking beside the couple independently', 'the girl with a pink sleeveless shirt is holding a yellow balloon in her left hand and a teddy bear in her right hand while walking toward the front side', 'there are some cars parked in the park in the background']"
P4,system2,4.0,"['a young man wearing a white shirt, black sunglasses, beige pants, and black shoes is looking at a woman who is holding a camera, with his left hand in his pocket, with a watch on his left wrist. He is holding a map in his right hand.', 'a fatty woman with long hair is holding a cup of coffee in her left hand and luggage in her right hand. She is wearing a flower-patterned dress, short jeans, and sandals. She is looking at the woman who holds the camera.', 'a young man wearing a green T-shirt, beige short pants, and black sneakers has a gray watch on his left wrist and is holding something in both hands, with his hands in a pocket. He is interestingly watching the girl who holds the camera.', 'a woman with long hair is wearing a bright blue-colored one-piece and sandals, holding a camera in her left hand and taking a photo. She is also holding a hat in her right hand.']"
P4,system2,5.0,"['A young man is wearing a white shirt, beige pants, and black shoes, with black sunglasses on. He is holding a camera in his right hand while looking at a woman who is holding a camera. His left hand is in his pocket, and he is wearing a watch on his left wrist. The man looks at the woman. The man is holding a map.', 'A fatty woman in a flower-patterned dress, jean shorts, and sandals is holding luggage in her left hand while looking at another woman who is holding a camera. The woman looks at the woman. The woman is holding a cup.', 'A young man is wearing a green T-shirt, beige short pants, and black sneakers. He has a gray watch on his left wrist and is holding something in both hands. His hands are in his pocket. He interestingly watches the girl who holds a camera. The man looks at the woman.', 'A woman with long hair is wearing a bright blue one-piece dress and sandals. She is holding a camera in her right hand and taking a photo. The woman is holding a hat.', 'A hat is on the woman.', 'A map is present.', 'A coffee cup is on the woman.']"
P5,system2,5.0,"['a male person wearing a white shirt, beige pants, black shoes, and a silver clock']"
P5,system2,4.0,"['a male person wearing a white shirt, beige pants, black shoes, and a silver clock, facing forward']"
P5,system2,5.0,"['a male person wearing a white shirt, beige pants, black shoes, and a silver clock, facing forward', 'a forward-facing female wearing a white shirt, blue shorts, black slippers, and carrying a silver carrier']"
P5,system2,7.0,"['a male person wearing a white shirt, beige pants, black shoes, and a silver clock, facing forward', 'a forward-facing female wearing a white, flower-covered shirt, blue shorts, black slippers, and carrying a silver carrier']"
P5,system2,5.0,"['a male person wearing a white shirt, beige pants, black shoes, and a silver clock, facing forward', 'a forward-facing female wearing a white, flower-covered shirt, blue shorts, black slippers, and carrying a silver carrier', 'a male person wearing beige shorts and black sneakers while facing forward, with his hands in the pockets of his shorts']"
