system,target,region_captions,participant,rating
system1,target1,"['an old man with white hair wearing a black beret, a grey cardigan with two black buttons, dark blue pants, and black shoes, looking left and a bit short, wearing a white shirt beneath the cardigan', 'a slightly brown woman with black hair that comes to her shoulders, smiling and looking slightly left, wearing a flower-patterned one-piece dress and white sandals, laying her left hand on top of the right hand of the man to her left who is holding a basket', 'a man with dark brown hair wearing a blue t-shirt and beige shorts, wearing black sandals, holding a large dark plate with lots of water bottles on it in his left hand, and holding a brown basket up to his waist with his right hand', 'a small yellow-brown girl holding a yellow balloon in her left hand and a brown teddy bear in her right hand, wearing a pink sleeveless t-shirt and a white skirt that comes to her knees, wearing pink sneakers, looking slightly to her right']",P11,3.0
system1,target1,"['a man wearing a black hat, staring at a woman and a man on his right', 'a woman wearing a flower-pattern dress, holding her left hand with a man next to her', 'a girl in a pink shirt and a white skirt, holding a yellow balloon with her left hand and a brown teddy bear in her right hand', 'a man holding a box of water bottles with his left arm, married to a woman next to him; he is holding his left hand with his wife and holding a brown basket with that hand']",P3,4.0
system1,target1,"['a middle-aged woman holding a basket is walking with her husband, who has a happy smile, and is wearing a flower-patterned one-piece', 'the man, putting his hand on his wife, is lifting a tray with a lot of water bottles on it, while she is wearing a blue T-shirt and beige-colored short pants', 'an old man wearing a gray cardigan and black beret is taking a lovely look at a girl at the opposite side while walking beside the couple independently', 'the girl with a pink sleeveless shirt is holding a yellow balloon in her left hand and a teddy bear in her right hand while walking toward the front side', 'there are some cars parked in the park in the background']",P4,5.0
system1,target1,"['an old man wearing a black beret and a gray cardigan over a white shirt, also wearing navy pants and black shoes', 'a woman wearing a flower-covered white dress, she is smiling and is 25 years old', 'a 30-year-old man wearing a blue shirt and beige shorts and black slippers, holding a brown basket with his right hand and a tray with 20 bottles of water on it with his left hand', 'a young girl wearing a pink tank top and a white skirt and pink sneakers, holding a brown teddy bear with her right hand and holding a yellow balloon with her left hand']",P5,7.0
system1,target1,"['a grandfather wearing a black hat, a white shirt, a gray cardigan, black suit pants, and formal shoes. He is white-haired and is looking at his granddaughter with a smile on his face.', 'a mother wearing a short-sleeved long one-piece dress and white slippers. She has black hair and is holding a basket full of groceries.', 'a father with brown curly hair wearing a blue collar t-shirt, beige short pants, and black slippers. A package of plastic water bottles is in his hand, and with the other hand, he is holding the basket with the mother.', 'a daughter wearing a hot pink sleeveless t-shirt, a white skirt, and pink shoes. She is holding a yellow balloon with one hand and a teddy bear with the other hand.', 'green trees', 'a black SUV car']",P8,4.0
system1,target1,"['a grandfather with white hair, wearing a black beret hat, a grey cardigan, navy pants, and black shoes, looking to the right side', ""a mother with a smiling face, dark skin, black hair, wearing a white dress with small pink flowers and green leaves pattern, holding the father's hand with her right hand"", ""a father with a smiling face, dark skin, black curly short hair, wearing a blue t-shirt, ivory short pants, and black sandals, holding the mother's hand with his left hand, also holding a big basket in his left hand, and carrying a lot of bottles of water on board"", 'a girl with dark skin, black short hair, wearing pink sleeves and a white lacy skirt, pink shoes, holding a teddy bear in her left hand and a yellow balloon in her right hand']",P9,5.0
system1,target2,"['a man wearing a white shirt, beige pants, and black shoes, holding a map in his right hand and wearing sunglasses', 'a woman wearing a white shirt with pink flower patterns, short jeans, and a pair of sandals, holding a coffee in her left hand and a grey luggage in her right hand', 'a man wearing a green shirt, beige shorts, and black shoes, with short black hair and wearing a watch on his left wrist', 'a woman wearing a long light-blue dress and a pair of sandals, holding a beige hat in her left hand and a black camera in her right hand', 'a city with yellow and white colored antique buildings in the back']",P1,6.0
system1,target2,"['a man standing holding a white paper bag, wearing black sunglasses, a watch, a white shirt, beiji pants, and black shoes, watching the right side', 'a woman standing, holding a red coffee in her left hand, drawing a grey carrier, wearing a flower-patterned white short-sleeved shirt, and blue shorts', 'a man wearing a green short-sleeved shirt, beiji shorts, a watch around his left hand, and black shoes, watching the right side', 'a woman wearing a sky blue one-piece dress, taking a picture with her smartphone in her right hand, holding a beiji hat in her left hand, and wearing sandals']",P10,6.0
system1,target2,"['a male with short brown hair, around 180 cm, wearing black sunglasses and a black watch on his left wrist, holding a pastel colored big map in his right hand, wearing a short sleeved tight white shirt, beige long pants, and black oxford shoes, looking at the people on the left side', 'a female with long black hair, 165 cm tall, wearing a pink and blue flower patterned short sleeve shirt, holding a cup of coffee in her left hand, with a silver luggage in front of her, wearing short denim pants and flat slippers, looking to the left', 'a male with short black hair, wearing a neon green short sleeve shirt and beige knee-length shorts with black sneakers, turning his body slightly to the left, wearing a black and white bracelet on his left wrist', 'a woman with medium black hair wearing a sleeveless sky blue dress just below the knee, flat magenta slippers, taking a photo of something above her with her smartphone, holding a straw sun hat in the other hand']",P12,3.0
system1,target2,"['a man wearing a white shirt and beige pants, holding a map and wearing sunglasses', 'a woman wearing a floral shirt and blue shorts, holding coffee in one hand and a suitcase in the other hand', 'a man wearing a green shirt and beige shorts, with both hands in his pockets', 'a woman in a light blue dress, taking a picture with a camera in one hand and holding a straw hat in the other hand', 'central European city-style yellow buildings in the background']",P2,5.0
system1,target2,"['an adult guy wearing a white shirt and a watch, wearing light-brown pants, holding a map and wearing black shoes', 'an adult woman with a flower-patterned shirt and blue shorts, carrying luggage and holding coffee', 'an adult man wearing a green shirt and a watch, wearing beige shorts and black shoes', 'an adult woman wearing a light blue dress, taking a photo with a camera and holding a hat']",P6,4.0
system1,target2,"['a man in a white shirt and brown pants wearing sunglasses is holding a map with one hand while putting his other hand inside his pocket with a silver watch', 'a fat woman with a T-shirt with various colors of flowers printed on it and blue short pants is holding a paper cup with one hand while her other hand is holding a silver suitcase, also wearing small earrings', ""a man with a bright green T-shirt and brown short pants is putting both of his hands inside his pants' pockets, with a silver watch on his left hand"", 'a woman taking a picture with her camera while holding her straw hat, wearing a sky blue one-piece and sandals', 'yellow European-style buildings seem famous to tourists for their antique style']",P7,6.0
system2,target1,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, and a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, holding hands with a male, and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, holding a bunch of bottled water', 'a little girl wearing a hot-pink, no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']",P1,6.0
system2,target1,"['a grandfather wearing a black beret, a white shirt, a gray cardigan, black pants, and black shoes, watching the right side', 'a mother wearing a flower-patterned white one-piece dress, holding a brown basket, wearing sandals, seeing the front', 'a father wearing a blue short-sleeved shirt and beige shorts, holding a black plate with many water bottles, and wearing sandals, seeing the front', 'a little girl wearing a sleeveless pink top and pink shoes while holding a yellow balloon and a white teddy bear, watching the front']",P10,5.0
system2,target1,"['an old man wearing a gray cardigan with 2 buttons on the shirt, black pants, and a beret, with short white hair, around 150 cm tall, looking at a 35-year-old woman and a man, and slightly overweight', 'a 35-year-old woman with medium-length wavy hair wearing a beret. She is chubby and around 165 cm tall, dressed in a short sleeve ankle-length dress with a pink and blue flower pattern', 'a 35-year-old male wearing a short-sleeved blue polo shirt, knee-length beige shorts, and black slippers, with curly short black hair without any hat', 'a 7-year-old girl with short hair wearing a neon pink sleeveless top, a white puffy skirt, and pink sneakers', 'a yellow balloon with a white string that the girl is holding in her left hand', 'a teddy bear that the girl is holding in her right hand', 'a tray full of disposable bottles of water that the man is holding in his left hand', 'a basket with a few items in it that the woman and the man are both holding']",P12,4.0
system2,target1,"['an old man wearing a beret, a gray shirt, and black pants, facing right', 'an adult man wearing a blue shirt and beige pants, holding a basket, and holding up a pan with one hand', 'an adult female wearing a floral dress and black pants, facing forward with black hair, holding hands with a man and holding a basket', 'a picnic basket', 'a pan', 'bottles of water on the pan', 'a female child wearing a pink shirt and a white skirt, holding a yellow balloon and a brown teddy bear', 'a yellow balloon', 'a brown teddy bear']",P2,4.0
system2,target1,"['an old guy wearing a black hat walking', 'a young adult woman wearing a dress facing front', 'a young adult man wearing a blue shirt and beige shorts facing front, wearing sandals, holding a basket and a tray', 'a girl wearing a pink shirt and white pants is holding a yellow balloon and a brown teddy bear', 'a parked black sedan car facing right', 'a basket', 'a set with a bottle of water, with the bottle on a tray', 'a bright yellow balloon with a smooth surface', 'a brown teddy bear', 'a tray']",P6,6.0
system2,target1,"['an old white man wearing a grey cardigan, a white shirt, black pants, and a black artist-style hat, holding nothing related to a woman while looking at a girl', 'a brown-haired woman in a flower-patterned dress holding a box', 'a young brown-haired man in a bright blue polo T-shirt and brown short pants holding a tray with a bunch of water bottles in one hand, wearing brown sandals, while holding a box', 'a black-haired girl in a bright pink tank top and a white skirt wearing pink shoes and holding a yellow balloon connected to a cute teddy bear', 'a brown picnic box', 'a street with a black tree', 'a black car, parked beside the street and viewed from the side', 'a lamp on the street']",P7,7.0
system2,target2,"['a man wearing a white shirt, wearing sunglasses, holding a map, wearing black shoes, brown pants, and a silver watch on his left wrist, with his hands in his pockets', 'a man wearing a green t-shirt, brown shorts, and black shoes, with a silver watch on his left wrist and his hands in his pockets', 'a woman with long brown hair wearing a shirt with flower patterns on it, wearing short blue pants, holding a cup of coffee in her left hand, dragging a silver trunk in her right hand, wearing slippers and a little fat', 'a short, average-height woman with black hair wearing a light blue one-piece dress and sandals, looking up while holding a black camera in her right hand, positioned up to her face, and dragging a beige straw hat in her left hand', 'a wide-brimmed hat with a black ribbon', 'a shiny silver suitcase with vertical grooves and a retractable handle']",P11,6.0
system2,target2,"['a man wearing a white short-sleeve shirt and beige pants, wearing sunglasses, and holding a paper map in his right hand', 'a woman in a sky-blue dress, taking a picture of the sky, wearing brown sandals, and holding a brown hat', 'a female with a flower pattern top and short jeans, holding a coffee cup in her left hand and a gray suitcase in her right hand', 'a man wearing a light green T-shirt, beige shorts, and black shoes, with his hands in his pockets']",P3,6.0
system2,target2,"['A young man is wearing a white shirt, beige pants, and black shoes, with black sunglasses on. He is holding a camera in his right hand while looking at a woman who is holding a camera. His left hand is in his pocket, and he is wearing a watch on his left wrist. The man looks at the woman. The man is holding a map.', 'A fatty woman in a flower-patterned dress, jean shorts, and sandals is holding luggage in her left hand while looking at another woman who is holding a camera. The woman looks at the woman. The woman is holding a cup.', 'A young man is wearing a green T-shirt, beige short pants, and black sneakers. He has a gray watch on his left wrist and is holding something in both hands. His hands are in his pocket. He interestingly watches the girl who holds a camera. The man looks at the woman.', 'A woman with long hair is wearing a bright blue one-piece dress and sandals. She is holding a camera in her right hand and taking a photo. The woman is holding a hat.', 'A hat is on the woman.', 'A map is present.', 'A coffee cup is on the woman.']",P4,5.0
system2,target2,"['a male person wearing a white shirt, beige pants, black shoes, and a silver clock, facing forward', 'a forward-facing female wearing a white, flower-covered shirt, blue shorts, black slippers, and carrying a silver carrier']",P5,7.0
system2,target2,"['a woman taking a picture with her camera, wearing a sky blue sleeveless one-piece and white slippers, holding a new object', 'a man wearing sunglasses and a white shirt, beige pants, black shoes, and a wristwatch is holding a paper map, looking at the woman', 'a man wearing sunglasses, a green t-shirt, beige short pants, and black shoes has his hands in the pockets of his pants and is wearing a wristwatch, looking at the woman', 'a woman is wearing sunglasses, a pink and sky blue flower-patterned blouse, jeans, and black slippers, holding a red coffee cup and luggage, looking at the woman', 'a street of a European city with yellow buildings, a palm tree in the corner, and some parasols']",P8,3.0
system2,target2,"['a man wearing a white short-sleeved shirt, brown pants, and black shoes, with a watch on his left hand and black sunglasses, holding a big map', 'a big map', 'a female with long hair wearing a white, short-sleeved, flowery patterned shirt, short jeans, and black sandals, holding a brown passport and carrying blue luggage', ""a man wearing a green short-sleeved t-shirt, brown short pants, and black shoes, putting his two hands in his pant's pockets, with no sunglasses"", 'blue luggage', 'a female wearing a sky blue sleeveless dress and brown sandals, taking a photo with a camera held in her left hands, with no sunglasses, while holding a big straw hat', 'a big straw hat']",P9,6.0
